selected,language,workspace,dev_type,file_count,loc,file_count_bin,loc_bin,stars,description
yes,c,Mbed-TLS__mbedtls,Identity & security,240,123712,low,mid,6622,
no,c,asg017__sqlite-vec,Others,198,44446,low,low,7537,
yes,c,capstone-engine__capstone,Others,2545,1078307,high,high,8694,
no,c,dicedb__dicedb,Others,1285,341938,mid,high,10744,
no,c,jerryscript-project__jerryscript,Others,1886,309921,high,high,7388,
no,c,nanomsg__nanomsg,Others,293,46336,low,low,6272,
yes,c,qmk__qmk_firmware,IoT,20427,1775892,high,high,20319,
no,c,redis__hiredis,Others,60,15897,low,low,6653,
yes,c,timescale__timescaledb,Others,1226,263764,mid,mid,22526,
yes,c,yarrick__iodine,Others,50,13220,low,low,7837,
yes,java,LMAX-Exchange__disruptor,Others,251,29130,low,low,18320,
no,java,Netflix__Hystrix,Others,452,82411,mid,mid,24458,
yes,java,ReactiveX__RxJava,Web frameworks,1976,470921,high,high,48286,
yes,java,baomidou__mybatis-plus,Developer tools,1025,98544,mid,mid,17364,
no,java,beemdevelopment__Aegis,Others,558,68568,mid,mid,12391,
no,java,conductor-oss__conductor,Others,2861,455283,high,high,31734,
yes,java,elastic__logstash,DevOps,1779,212606,high,mid,14846,
yes,java,greenrobot__EventBus,Networking,119,9527,low,low,24730,
no,java,grpc__grpc-java,Networking,1888,422654,high,high,12011,
no,java,spring-projects__spring-framework,Web frameworks,10077,1523748,high,high,59895,
yes,javascript,affaan-m__everything-claude-code,ChatBots,1607,381724,high,high,173379,
yes,javascript,anuraghazra__github-readme-stats,Others,96,30747,low,low,79263,
yes,javascript,axios__axios,Networking,371,71823,mid,mid,109039,
no,javascript,facebook__create-react-app,Web frameworks,429,32040,mid,low,103451,
yes,javascript,facebook__react,Web frameworks,6568,892714,high,high,244835,
no,javascript,hakimel__reveal.js,Others,163,39186,low,low,71118,
yes,javascript,louislam__uptime-kuma,DevOps,490,123704,mid,mid,86218,
no,javascript,mui__material-ui,Web frameworks,17766,690092,high,high,98276,
no,javascript,sveltejs__svelte,Web frameworks,4369,211145,high,mid,86470,
no,javascript,typicode__json-server,Networking,25,3020,low,low,75570,
no,python,9001__copyparty,Others,350,127799,low,mid,44563,
no,python,Textualize__rich,Others,506,70410,mid,mid,56222,
no,python,ageitgey__face_recognition,Others,62,6011,low,low,56356,
yes,python,deepspeedai__DeepSpeed,Others,1461,285409,high,high,42261,
yes,python,httpie__cli,Developer tools,219,25552,low,low,38020,
no,python,mindsdb__mindsdb,Others,892,172551,mid,mid,39080,
yes,python,nvbn__thefuck,Others,425,17096,mid,low,96759,
yes,python,psf__requests,Networking,73,16819,low,low,53938,
no,python,unclecode__crawl4ai,Others,735,303767,mid,high,65006,
yes,python,ytdl-org__youtube-dl,Others,921,172681,mid,mid,140159,
